iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,0,0,0,132,321,1133,0,0,0,0,0,23,23,23,,,,,,,,,,,,,371.90259160000096,372.9033830999997,372.88646359999984,377.6903913999995,377.6903913999995,370.9027934000005,373.8874988600006,376.7062507999999,"['num_3', 'num_3', 'num_2']","[0.5016895000007935, 2.1734168999992107, 3.6852940999997372]",377.6903913999995,370.9027934000005,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,1,1,1,131,323,3133,0,0,0,0,0,24,24,24,,,,,,,,,,,,,386.69797050000125,387.6989184000013,387.6989184000013,392.5022315999995,392.5022315999995,385.71494130000065,388.6991945600008,None,"['num_1', 'num_3', 'num_1']","[1.0575882000011916, 1.6976365000009537, 2.3697611000006873]",392.5022315999995,385.71494130000065,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,0,1,1,212,131,2112,0,0,0,0,0,25,25,25,,,,,,,,,,,,,401.5095996,402.51002940000035,402.51002940000035,407.31402909999997,407.31402909999997,None,403.5109820599997,406.33000040000115,"['num_2', 'num_1', 'num_2']","[0.5657843999997567, 1.6537420999993628, 2.4614674000004015]",407.31402909999997,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,1,1,1,312,123,3111,0,0,0,0,0,26,26,26,,,,,,,,,,,,,416.32130400000096,417.32153649999964,417.30485390000104,422.1092370999995,422.1092370999995,None,418.30661426000063,None,"['num_1', 'num_2', 'num_3']","[0.6425028000012389, 1.5223703999999998, 2.274518900001567]",422.1092370999995,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,1,1,0,323,132,1131,0,0,0,0,0,27,27,27,,,,,,,,,,,,,431.13333890000104,432.13420700000097,432.1172724999997,436.92125430000124,436.92125430000124,None,433.118250260001,None,"['num_1', 'num_2', 'num_3']","[0.534609599999385, 1.2221828999990976, 2.078475399999661]",436.92125430000124,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,1,1,0,131,213,2221,0,0,0,0,0,28,28,28,,,,,,,,,,,,,445.9115760000004,446.9119389999996,446.9119389999996,451.7164659000009,451.7164659000009,None,447.91344516000083,450.73198650000086,"['num_1', 'num_3', 'num_1']","[1.4114410999991378, 2.2029774000002362, 3.019397399999434]",451.7164659000009,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,1,0,1,232,321,3332,0,0,0,0,0,29,29,29,,,,,,,,,,,,,460.72407589999966,461.7243993000011,461.70779980000043,466.5117774999999,466.4952387000012,None,462.7080204600012,None,"['num_3', 'num_2', 'num_3']","[1.3683412999998836, 2.0724322000005486, 2.848518700000568]",466.4952387000012,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,0,1,0,232,321,1133,0,0,0,0,0,30,30,30,,,,,,,,,,,,,475.50214340000093,476.50301070000023,476.50301070000023,481.3066854000008,481.3066854000008,474.5193188000012,477.50328436000075,480.3228837000006,"['num_2', 'num_3', 'num_2']","[0.9971175999999105, 1.7091194999993604, 2.4690652999997837]",481.3066854000008,474.5193188000012,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,1,0,1,323,231,3111,0,0,0,0,0,31,31,31,,,,,,,,,,,,,490.3141273000001,491.31479519999993,491.31479519999993,496.11835820000124,496.11835820000124,None,492.3155010600009,None,"['num_3', 'num_2', 'num_1']","[0.9853712999993149, 1.5936191999990115, 2.24943279999934]",496.11835820000124,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,1,1,1,312,231,2323,1,0,1,0,0,0,0,0,,,,,,,525.4422568000009,None,space,3.1173058999993373,525.4422568000009,None,529.5957008000005,530.5964698999996,530.5964698999996,535.4003024000012,535.3834681000008,None,531.5805691600004,None,"['num_2', 'num_1', 'num_2']","[0.9281053000013344, 1.7443574000008084, 2.4163710000011633]",535.3834681000008,None,504.1426064999996,None,space,11.264951599998312,504.1426064999996,None,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
