iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,0,0,1,233,311,2321,2,0,2,0,0,26,26,26,,,,,,,,,,,,,420.56873989999985,421.56970569999976,421.56970569999976,426.373545800001,426.373545800001,None,422.5703939600004,None,"['num_2', 'num_3', 'num_3']","[0.837148900000102, 1.548801299999468, 2.1812743000009505]",426.373545800001,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,1,1,0,131,212,3311,2,0,2,0,0,27,27,27,,,,,,,,,,,,,435.3979376999996,436.3985128000004,436.38191949999964,441.18551020000086,441.18551020000086,None,437.3823556599997,None,"['num_1', 'num_3', 'num_1']","[0.6652947000002314, 1.2972678000005544, 1.8971830000009504]",441.18551020000086,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,0,0,0,131,313,1232,2,0,2,0,0,28,28,28,,,,,,,,,,,,,450.1930855999999,451.1936618,451.1769724000005,455.9804614000004,455.9804614000004,None,452.17798396,None,"['num_1', 'num_3', 'num_1']","[1.5898890000007668, 2.197961800000485, 2.8305168000006233]",455.9804614000004,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,1,0,0,213,332,1122,2,0,2,0,0,29,29,29,,,,,,,,,,,,,464.97128560000056,465.9720218000002,465.9553358000012,470.7591530999998,470.7591530999998,None,466.9564296599998,None,"['num_2', 'num_1', 'num_3']","[1.0674722000003385, 1.6352673000001232, 2.2191492000001745]",470.7591530999998,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,1,0,0,323,231,2322,2,0,2,0,0,30,30,30,,,,,,,,,,,,,479.7831623000002,480.78406600000017,480.767063700001,485.5711523000009,485.5711523000009,None,481.76775646000135,None,"['num_2', 'num_2', 'num_3']","[1.4794270000002143, 2.095458100000542, 2.6955443999995623]",485.5711523000009,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,1,1,0,212,121,1313,2,0,2,0,0,31,31,31,,,,,,,,,,,,,494.5786824000006,495.57976810000036,495.57976810000036,500.38308660000075,500.38308660000075,None,496.57996156000047,499.39968670000053,"['num_2', 'num_1', 'num_2']","[0.9234821000009106, 1.9634282000006351, 2.6283149999999296]",500.38308660000075,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,1,0,0,132,213,3331,3,0,3,0,0,0,0,0,,,,,,,555.1268973000006,None,space,1.7076393999996071,555.1268973000006,None,557.8791877000003,558.8800967999996,558.8633783000005,563.6668227999999,563.6668227999999,None,559.8643342600004,None,"['num_1', 'num_3', 'num_2']","[0.647952900000746, 1.1037377000011475, 1.5675871000003099]",563.6668227999999,None,508.3904158000005,None,space,36.71618470000067,508.3904158000005,None,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,0,0,0,123,232,3323,3,0,3,0,0,1,1,1,,,,,,,,,,,,,572.6748134000009,573.6753193000004,573.6753193000004,578.4789658999998,578.4789658999998,None,574.675518560001,None,"['num_1', 'num_2', 'num_3']","[0.5316631000005145, 0.9634291000002122, 1.3477636000006896]",578.4789658999998,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,1,1,1,321,212,1311,3,0,3,0,0,2,2,2,,,,,,,,,,,,,587.4699213000004,588.470064000001,588.470064000001,593.2739570000012,593.2739570000012,None,589.4713258600001,None,"['num_3', 'num_2', 'num_1']","[0.928581000000122, 1.736493899999914, 2.2885384999990492]",593.2739570000012,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,0,1,0,313,132,3122,3,0,3,0,0,3,3,3,,,,,,,,,,,,,602.2811397000005,603.2820810000012,603.2820810000012,608.0862472999997,608.0862472999997,None,604.2834297599999,None,"['num_3', 'num_1', 'num_3']","[2.500452000000223, 3.4124789999987115, 4.132104399999662]",608.0862472999997,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,0,0,121,213,2211,3,0,3,0,0,4,4,4,,,,,,,,,,,,,617.0940243000005,618.0942061000005,618.0775286999997,622.8812448000008,622.8812448000008,None,619.0782560599997,621.8977542000011,"['num_1', 'num_2', 'num_1']","[0.6571555999998964, 1.153223600000274, 1.6969960000005813]",622.8812448000008,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,0,0,1,323,212,3112,3,0,3,0,0,5,5,5,,,,,,,,,,,,,631.8894233999999,632.8890986000006,632.8725666999999,637.6766435999998,637.6766435999998,None,633.8728177600002,None,"['num_3', 'num_2', 'num_3']","[0.7894799999994575, 1.4779201000001194, 2.189441099999385]",637.6766435999998,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,0,0,0,321,132,1311,3,0,3,0,0,6,6,6,,,,,,,,,,,,,646.6839204000007,647.6844203,647.6844203,652.4884675000012,652.4884675000012,None,648.6854398600004,None,"['num_3', 'num_2', 'num_1']","[1.0580119000005652, 1.7858478000016476, 2.402168000000529]",652.4884675000012,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,1,0,1,221,133,3221,3,0,3,0,0,7,7,7,,,,,,,,,,,,,661.4790618999996,662.479495900001,662.479495900001,667.2834123000011,667.2674089000011,None,663.4803702599999,None,"['num_2', 'num_2', 'num_1']","[1.3429880000003322, 1.7431657000015548, 4.583198399999674]",667.2674089000011,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,1,1,1,123,312,1322,3,0,3,0,0,8,8,8,,,,,,,,,,,,,676.2740936999999,677.2750714000013,677.2750714000013,682.0787652000017,682.0787652000017,None,678.2757408600006,681.0947395000021,"['num_1', 'num_2', 'num_3']","[0.7556738999992376, 1.20359439999811, 1.7557100000012724]",682.0787652000017,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,0,0,0,331,122,2111,3,0,3,0,0,9,9,9,,,,,,,,,,,,,691.0694327000001,692.0699480000021,692.0699480000021,696.8743823999994,696.8743823999994,None,693.0709264600006,None,"['num_3', 'num_3', 'num_1']","[0.5600320999983524, 1.0718754999979865, 1.712217199998122]",696.8743823999994,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,1,1,1,131,213,3122,3,0,3,0,0,10,10,10,,,,,,,,,,,,,705.8811783000001,706.8818938999993,706.8818938999993,711.6860453999998,711.6860453999998,None,707.882859060002,None,"['num_3', 'num_1', 'num_1']","[1.1804421999986516, 1.8843319000006886, 2.4205078999984835]",711.6860453999998,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,0,1,122,231,2133,3,0,3,0,0,11,11,11,,,,,,,,,,,,,720.6765457999991,721.6773792000004,721.6773792000004,726.4805247000022,726.4805247000022,None,722.6786237599987,725.4975136000012,"['num_1', 'num_2', 'num_2']","[1.5138385999998718, 2.281964699999662, 3.0419423000021197]",726.4805247000022,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,1,1,223,112,1121,3,0,3,0,0,12,12,12,,,,,,,,,,,,,735.4717127000022,736.4722272000017,736.4722272000017,741.2763658999993,741.2763658999993,None,737.4732297600018,None,"['num_2', 'num_2', 'num_3']","[0.8540451000008034, 1.1983656000011251, 1.766205899999477]",741.2763658999993,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,0,0,1,123,212,2221,3,0,3,0,0,13,13,13,,,,,,,,,,,,,750.3004382999989,751.3008748000011,751.2844915000005,756.0881707999997,756.0881707999997,None,752.2851533600002,755.1039804000011,"['num_1', 'num_2', 'num_3']","[0.41018590000021504, 0.9782664000013028, 1.6498735999994096]",756.0881707999997,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,1,0,0,312,131,2333,3,0,3,0,0,14,14,14,,,,,,,,,,,,,765.0958579000016,766.0960056999993,766.0792218000006,770.8834071000001,770.8834071000001,None,767.080715759999,None,"['num_3', 'num_1', 'num_2']","[1.270932499999617, 1.910752700001467, 2.550709300001472]",770.8834071000001,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,1,1,0,131,323,2231,3,0,3,0,0,15,15,15,,,,,,,,,,,,,779.8742767999993,780.8750401000016,780.8750401000016,785.678510300002,785.678510300002,None,781.8754458600012,784.6952172000001,"['num_1', 'num_3', 'num_1']","[0.7878597999988415, 1.4199826000003668, 2.043798599999718]",785.678510300002,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
