iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,1,0,1,1,212,131,2133,0,0,0,0,0,26,26,26,,,,,,,,,,,,,433.61550569999963,434.61621589999413,434.61621589999413,439.4198602999968,439.4198602999968,None,435.61701891997654,438.4355628999765,None,,439.4198602999968,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,0,1,0,312,131,3231,0,0,0,0,0,27,27,27,,,,,,,,,,,,,448.4269754999841,449.4281508999993,449.4281508999993,454.2321793999872,454.2321793999872,None,450.4297573199874,453.2480956999934,None,,454.2321793999872,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,1,0,132,223,1132,0,0,0,0,0,28,28,28,,,,,,,,,,,,,463.22264599998016,464.2232784999942,464.2232784999942,469.0265491999744,469.0265491999744,None,465.2240349200001,None,None,,469.0265491999744,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,1,1,223,131,3121,0,0,0,0,0,29,29,29,,,,,,,,,,,,,478.0175190999871,479.01937870000256,479.01937870000256,483.82220729999244,483.82220729999244,None,480.01919161998376,482.8382739999797,None,,483.82220729999244,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,0,0,0,213,131,1113,0,0,0,0,0,30,30,30,,,,,,,,,,,,,492.81304089998594,493.81416169999284,493.81416169999284,498.6176397999807,498.6176397999807,None,494.8146076199919,None,None,,498.6176397999807,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,0,1,1,111,323,1213,0,0,0,0,0,31,31,31,,,,,,,,,,,,,507.6249048000027,508.6259292999748,508.6259292999748,513.4293661999982,513.4293661999982,None,509.62662201999046,512.445392499998,None,,513.4293661999982,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,1,1,232,323,3121,1,0,1,0,0,0,0,0,,,,,,,732.7388367999811,None,space,0.9021221000002697,732.7388367999811,None,734.6747832999972,735.6762824999751,735.6580871999904,740.462068199995,740.462068199995,None,736.6588221199781,739.4779541000025,None,,740.462068199995,None,521.4368309999991,None,space,201.28461299999617,521.4368309999991,None,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,0,0,1,122,313,1112,1,0,1,0,0,1,1,1,,,,,,,,,,,,,749.4860572999751,750.4875464999932,750.4697388999921,755.2739492999972,755.2739492999972,None,751.4709393199737,None,None,,755.2739492999972,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,1,0,1,123,212,2113,1,0,1,0,0,2,2,2,,,,,,,,,,,,,764.2646686999942,765.2655340999772,765.2655340999772,770.0691005999979,770.0691005999979,None,766.2667545199947,769.0853058999928,None,,770.0691005999979,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,1,0,311,122,1132,1,0,1,0,0,3,3,3,,,,,,,,,,,,,779.0599903999828,780.060627400002,780.060627400002,784.8643054999993,784.8643054999993,None,781.06121711999,None,None,,784.8643054999993,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
