iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,1,1,0,0,321,213,3313,331,0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,374.46963599999435,375.46837989997584,375.45336580000003,380.2554777999758,380.24020449997624,None,376.4539002666463,None,"['num_3', 'num_1', 'num_2']","[1.244691600004444, 2.108802900009323, 2.460718900023494]",380.24020449997624,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,0,0,0,312,233,2121,231,0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,389.2649672999978,390.2634705999808,390.24840459998813,395.0531086999981,395.0531086999981,388.2635013999825,391.2493108666424,394.0679640999879,"['num_3', 'num_1', 'num_3']","[1.167776899994351, 1.6238433999824338, 2.039553899987368]",395.0531086999981,388.2635013999825,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,1,0,1,323,132,3323,312,0,0,0,0,0,0,24,24,24,,,,,,,,,,,,,404.0748383999744,405.07555339997634,405.07555339997634,409.880960999988,409.8625860999746,None,406.0779256666467,408.8969846999971,"['num_2', 'num_1', 'num_3']","[0.798660700005712, 1.1348771000048146, 1.6622043000243139]",409.8625860999746,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,0,1,1,132,321,2132,332,1,0,0,0,0,0,25,25,25,,,,,,,,,,,,,418.8887197999866,419.88740599999437,419.8730519999808,424.6932710999972,424.6598174999817,None,420.87329766666903,None,"['num_2', 'num_2', 'num_1']","[0.6250039000005927, 0.8331045999948401, 1.1932436999923084]",424.6598174999817,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,1,1,1,233,121,1133,123,0,0,0,0,0,0,26,26,26,,,,,,,,,,,,,433.6485761999793,434.65116689997376,434.65116689997376,439.4545469000004,439.43639329998405,None,435.651788466643,None,"['num_2', 'num_3', 'num_1']","[1.0884831000003032, 1.4566711999941617, 1.880538700002944]",439.43639329998405,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,1,1,1,312,231,3222,111,1,0,0,0,0,0,27,27,27,,,,,,,,,,,,,448.4606696999981,449.46131719998084,449.445922599989,454.2483608999755,454.2483608999755,447.4603967999865,450.44553766664853,453.26379929998075,"['num_1', 'num_2', 'num_3']","[0.9805438999901526, 1.7248615999997128, 2.692848100006813]",454.2483608999755,447.4603967999865,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,1,1,1,123,232,1213,121,0,0,0,0,0,0,28,28,28,,,,,,,,,,,,,463.272788399976,464.2730891999963,464.2575537999801,469.0600216999883,469.0453350000025,None,465.2427319666642,None,"['num_3', 'num_3', 'num_1']","[0.8874142999993637, 1.0874724999885075, 1.5916781999985687]",469.0453350000025,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,1,1,0,312,131,3131,133,0,0,0,0,0,0,29,29,29,,,,,,,,,,,,,478.067553699977,479.0683988999808,479.0683988999808,483.87340250000125,483.85535919998074,None,480.07063366665193,482.88805339997634,"['num_1', 'num_1', 'num_3']","[2.997531600005459, 3.301422399992589, 3.861727699986659]",483.85535919998074,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,0,1,1,112,323,1122,323,1,0,0,0,0,0,30,30,30,,,,,,,,,,,,,492.87983059999533,493.8799847999762,493.8644612999924,498.6675823999976,498.6675823999976,None,494.8658774666585,497.68496709998,"['num_2', 'num_1', 'num_2']","[0.8491422000224702, 1.2814968000166118, 2.033207400003448]",498.6675823999976,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,0,0,1,232,323,3131,331,1,0,0,0,0,0,31,31,31,,,,,,,,,,,,,507.65803689998575,508.6588886999816,508.6588886999816,513.4642991999863,513.4642991999863,None,509.65942146664406,None,"['num_2', 'num_3', 'num_2']","[1.0207201000011992, 1.4123660999757703, 2.068686999991769]",513.4642991999863,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,1,1,1,121,213,2312,221,0,1,0,1,0,0,0,0,0,,,,,,,630.3755116999964,None,space,12.237299900007201,630.3755116999964,None,643.6696299999894,644.684608999989,644.6514234999777,649.455216399976,649.455216399976,None,645.6536499666438,648.4715835999814,"['num_2', 'num_3', 'num_2']","[1.1732478000049014, 1.9973781000007875, 2.3736994999926537]",649.455216399976,None,521.4701755999995,None,space,98.87069559999509,521.4701755999995,None,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,1,1,1,212,321,3232,112,1,1,0,1,0,0,1,1,1,,,,,,,,,,,,,658.4646009999851,659.4798721999978,659.446536399977,664.2504711999791,664.2504711999791,None,660.4488134666501,None,"['num_1', 'num_2', 'num_1']","[0.8662116000195965, 1.3223652000015136, 1.8186084000044502]",664.2504711999791,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,0,1,0,231,123,3112,233,1,1,0,1,0,0,2,2,2,,,,,,,,,,,,,673.2426945999905,674.2432941999868,674.2432941999868,679.047259599989,679.047259599989,None,675.2425563666659,678.061658999999,"['num_3', 'num_1', 'num_2']","[1.7491499000170734, 2.8211692000040784, 3.069630000012694]",679.047259599989,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,0,0,1,232,321,2311,221,1,1,0,1,0,0,3,3,3,,,,,,,,,,,,,688.0716020999826,689.0872181000013,689.0534798000008,693.857667299977,693.857667299977,None,690.0564623666617,692.8734488999762,"['num_1', 'num_2', 'num_1']","[1.6669589999946766, 2.5869659000018146, 4.706946199992672]",693.857667299977,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
